city,xco2_ppm,sif_757nm,country,TargetRegion,population,gdp_bil_usd,annual_co2_em_mtco2,number_of_sams,quadrant
Abidjan,,0.32261077,,,,,,,LOW_both
Abu Dhabi,416.76666,0.06980315,,,,,,,LOW_both
Accra,,0.23198673,,,,,,,LOW_both
Ad Damman,415.14328,0.024032785,,,,,,,LOW_both
Addis Ababa,,0.124186285,,,,,,,LOW_both
Adelaide,413.70047,0.1841032,,,,,,,LOW_both
Adelaide River,412.5258,0.20065548,,,,,,,LOW_both
Agra,413.16956,0.17192075,,,,,,,LOW_both
Ahmedabad,417.20074,0.21822695,,,,,,,LOW_both
Ahvaz,414.81552,0.096849285,,,,,,,LOW_both
Al Ahmadi,417.11212,0.024257202,,,,,,,LOW_both
Al Ayn,415.63416,0.049961418,,,,,,,LOW_both
Al Hufuf,416.79202,0.026212852,,,,,,,LOW_both
Alice,414.30743,0.16314511,,,,,,,LOW_both
Alice Springs,413.65546,0.049986634,,,,,,,LOW_both
Allahabad,415.43634,0.21828264,,,,,,,LOW_both
Almaty,415.85416,0.1570763,,,,,,,LOW_both
Amman,415.50775,0.07083571,Jordan,South and West Asia,3628653,49,15.658,11,LOW_both
Amsterdam,417.43326,0.49683675,,,,,,,LOW_emissions_HIGH_conc
Ankara,415.55164,0.14132117,,,,,,,LOW_both
Ansan,420.8523,0.19148518,,,,,,,LOW_emissions_HIGH_conc
Aosta,411.81442,0.12651885,,,,,,,LOW_both
Ashburton,411.6786,0.3846353,,,,,,,LOW_both
Ashgabat,415.51028,0.08057409,,,,,,,LOW_both
Astana,416.4232,0.12732774,,,,,,,LOW_both
Athens,415.3815,0.13275483,Greece,Europe,3344006,168.7,22.004,2,LOW_both
Atlanta,416.83896,0.26409274,,,,,,,LOW_both
Auckland,412.80524,0.2830927,,,,,,,LOW_both
Aurora,416.21136,0.105105646,,,,,,,LOW_both
Austin,418.6824,0.25885278,,,,,,,LOW_emissions_HIGH_conc
Az Zahran,416.14243,0.021320626,,,,,,,LOW_both
Baghdad,416.41287,0.1097365,,,,,,,LOW_both
Ballarat,412.97107,0.24864013,,,,,,,LOW_both
Baltimore,415.94226,0.33390144,,,,,,,LOW_both
Baotou,417.84283,0.1056463,,,,,,,LOW_emissions_HIGH_conc
Barcelona,417.58444,0.13937017,Spain,Europe,3617341,193.6,23.661,9,LOW_emissions_HIGH_conc
Beer Sheva,415.71793,0.071705595,,,,,,,LOW_both
Beijing,418.5137,0.19331382,,,,,,,LOW_emissions_HIGH_conc
Bend,415.47128,0.13089731,,,,,,,LOW_both
Bengaluru,416.59677,0.19162032,,,,,,,LOW_both
Benha,416.201,0.20573787,,,,,,,LOW_both
Bhuj,417.47897,0.13247317,,,,,,,LOW_emissions_HIGH_conc
Birmingham,416.44614,0.2956734,,,,,,,LOW_both
Bloomington,417.55692,0.3950864,,,,,,,LOW_emissions_HIGH_conc
Bogota,416.74738,0.24261746,,,,,,,LOW_both
Boston,417.3275,0.28748137,USA,North America,2043464,240.7,27.917,7,LOW_emissions_HIGH_conc
Boulder,414.8421,0.08696881,,,,,,,LOW_both
Brisbane,414.79877,0.19808623,,,,,,,LOW_both
Bristol,416.27884,0.40596583,,,,,,,LOW_both
Brussels,415.88663,0.34049815,,,,,,,LOW_both
Bryan,418.37463,0.24397549,,,,,,,LOW_emissions_HIGH_conc
Bucharest,414.70804,0.28219846,,,,,,,LOW_both
Budapest,416.4691,0.3405377,,,,,,,LOW_both
Buenos Aires,412.77887,0.20647107,Argentina,Latin America,14671264,448.2,38.885,18,LOW_both
Bursa,413.47208,0.22233486,,,,,,,LOW_both
Busan,418.60352,0.24783663,,,,,,,LOW_emissions_HIGH_conc
Caceres,415.45197,0.23436557,,,,,,,LOW_both
Cairo,417.17307,0.12437318,,,,,,,LOW_both
Calgary,415.56754,0.21281831,,,,,,,LOW_both
Cape Town,413.6884,0.137062,South Africa,Africa,3922881,75.1,43.121,15,HIGH_emissions_LOW_conc
Caracas,415.24887,0.28972986,,,,,,,LOW_both
Chandigarh,415.17026,0.1965563,,,,,,,LOW_both
Changchun,417.06915,0.23313777,,,,,,,LOW_both
Charlotte,414.0917,0.35192633,,,,,,,LOW_both
Charlottesville,416.12146,0.38218057,,,,,,,LOW_both
