city,xco2_ppm,xco2_numsams,xco2_std,lat_mean,lon_mean,lat_median,lon_median,target_name,sif_757nm,sif_numsams,sif_std,wkt_center,wkt_boundary,country,region,population,gdp_bil_usd,annual_co2_em_mtco2,numsams_ahn2025,low_sample_count,quadrant,coastal_km,is_coastal
Abidjan,,,,,,,,,0.32192993,3106,0.18365994,,,,,,,,,True,LOW_both,,
Abu Dhabi,416.77133,2605.0,2.832936,24.371185,54.60222,24.338371,54.65649,fossil_Abu_Dhabi_UAE,0.065345764,12950,0.16998428,POINT(54.37173000000007 24.46918000000005),"POLYGON((53.97828831189895 24.10754017799125,53.97603747500898 24.8297724765273,54.76742252499116 24.8297724765273,54.76517168810119 24.10754017799125,53.97828831189895 24.10754017799125))",,,,,,,True,LOW_both,0.9958193821029956,True
Accra,,,,,,,,,0.21807957,2093,0.19941351,,,,,,,,,True,LOW_both,,
Ad Damman,415.3122,8635.0,3.1630642,26.366312,49.906715,26.347805,49.89751,fossil_Ad_Damman_Saudi_Arabia,0.021976471,24971,0.16402836,POINT(50.06027000000006 26.44041000000004),"POLYGON((49.66047250840367 26.07881931044243,49.6579727441376 26.80085722165757,50.46256725586252 26.80085722165757,50.46006749159645 26.07881931044243,49.66047250840367 26.07881931044243))",,,,,,,True,LOW_both,14.222981281638285,True
Addis Ababa,,,,,,,,,0.10318661,5507,0.16096695,,,,,,,,,True,LOW_both,,
Adelaide,413.96646,18543.0,2.7497349,-34.877144,138.74341,-34.873074,138.73169,fossil_Adelaide_Australia,0.1633997,46106,0.1796767,POINT(138.5998000000001 -34.92584999999997),"POLYGON((138.1600924295792 -35.28559790214575,138.1639224948306 -34.56450335739547,139.0356775051696 -34.56450335739547,139.0395075704209 -35.28559790214575,138.1600924295792 -35.28559790214575))",,,,,,,True,LOW_both,23.245502074468266,True
Adelaide River,412.99377,597.0,1.8060706,-13.209667,130.7933,-13.220271,130.7962,ecostress_au_lit,0.19375229,1334,0.13721554,POINT(130.7945 -13.179),"POLYGON((130.6098727647741 -13.35971091416863,130.6101436473157 -12.99815382435098,130.9788563526843 -12.99815382435098,130.979127235226 -13.35971091416863,130.6098727647741 -13.35971091416863))",,,,,,,True,LOW_both,54.60821931678183,False
Agra,413.16956,2.0,0.02889453,27.524324,78.367096,27.524324,78.367096,fossil_Agra_India,0.15729666,9574,0.16157487,POINT(78 27.18),"POLYGON((78.405243 27.538744,77.594765 27.538744,77.597366 26.820101,78.402641 26.820101,78.405243 27.538744))",,,,,,,True,LOW_both,929.310674172773,False
Ahmedabad,417.52103,9722.0,2.4681122,23.04588,72.5978,23.05567,72.60135,fossil_Ahmadabad_India,0.20462179,45514,0.17581025,POINT(72.60025000000007 23.02777000000003),"POLYGON((72.21104215840745 22.66609692454589,72.20896273546134 23.38846423952132,72.9915372645388 23.38846423952132,72.9894578415927 22.66609692454589,72.21104215840745 22.66609692454589))",,,,,,,True,LOW_both,201.0176157569634,False
Ahvaz,413.89633,15469.0,3.5520732,31.322172,48.676052,31.3251,48.683426,fossil_Ahvaz_Iran,0.08382416,43937,0.16879134,POINT(48.66930000000008 31.32030000000003),"POLYGON((48.25064922699363 30.9588451239836,48.24744472305474 31.68035903125548,49.09115527694541 31.68035903125548,49.08795077300653 30.9588451239836,48.25064922699363 30.9588451239836))",,,,,,,True,LOW_both,133.52184640919458,False
