Target ID,Target Name,Priority Number,High Priority Start Date,High Priority End Date,Site Center WKT,Site Shape WKT,Number of Desired Observations,Mode,Swath Scale,Scan Direction,Glint Check,Rotate Target,Ascending Centroid WKT,Ascending Polygon WKT,Ascending Along,Ascending Across,Descending Centroid WKT,Descending Polygon WKT,Descending Along,Descending Across,lon,lat,city,country,population,Edit notes,Unnamed: 27,countrycode,gdp_per_capita_country_2024,gdp_bil_usd,coastal_km,is_coastal
C40_001,Auckland_NewZealand,244,,,POINT(174.769989 -36.837498),"POLYGON((175.216858 -36.477333,174.32312 -36.477333,174.318909 -37.195972,175.221085 -37.195972,175.216858 -36.477333))",2,Area Mapping Mode,1.0,0,1,1,POINT(174.7742 -36.834526),"POLYGON((174.580017 -37.270222,174.209106 -36.932243,174.966187 -36.398521,175.33783 -36.734146,174.580017 -37.270222))",90.0,50.0,POINT(174.7742 -36.840469),"POLYGON((174.210495 -36.740204,174.582062 -36.404507,175.339371 -36.938068,174.968552 -37.276123,174.210495 -36.740204))",90.0,50.0,174.769989,-36.837498,Auckland,New Zealand,1377200,,,NZL,49205.17921,67.76537281,30.183376532251046,True
C40_007,Dakar_Senegal,245,,,POINT(-17.2 14.75),"POLYGON((-16.82781 15.109027,-17.572191 15.109027,-17.570965 14.390381,-16.829039 14.390381,-16.82781 15.109027))",2,Area Mapping Mode,1.0,0,1,1,POINT(-17.087214 14.903599),"POLYGON((-17.152233 14.445461,-17.523773 14.714618,-17.021917 15.36172,-16.649889 15.091754,-17.152233 14.445461))",90.0,50.0,POINT(-17.097214 14.546401),"POLYGON((-17.533535 14.735169,-17.16172 15.00461,-16.66164 14.356825,-17.032972 14.088172,-17.533535 14.735169))",90.0,50.0,-17.2,14.75,Thies,Senegal,293001,,,SEN,1773.218299,0.519554735,17.150594346808727,True
C40_008,DaresSalaam_Tanzania,246,,,POINT(39.245556 -6.840556),"POLYGON((39.607193 -6.481097,38.883923 -6.481097,38.883377 -7.199744,39.607735 -7.199744,39.607193 -6.481097))",2,Area Mapping Mode,1.0,0,1,1,POINT(39.078213 -7.016902),"POLYGON((39.025803 -7.476407,38.65728 -7.21535,39.13052 -6.557393,39.498787 -6.81808,39.025803 -7.476407))",90.0,50.0,POINT(39.208191 -6.884214),"POLYGON((38.787788 -6.68528,39.156025 -6.42469,39.628948 -7.08278,39.26046 -7.343732,38.787788 -6.68528))",90.0,50.0,39.245556,-6.840556,Dar es Salaam,Tanzania,2930000,,,TZA,1186.716919,3.477080573,10.818472042089834,True
C40_010,Freetown_SierraLeone,247,,,POINT(-13.238889 8.451388),"POLYGON((-12.875274 8.810545,-13.602503 8.810545,-13.601826 8.091897,-12.875951 8.091897,-12.875274 8.810545))",2,Area Mapping Mode,1.0,0,1,1,POINT(-13.056236 8.635041),"POLYGON((-13.110347 8.175714,-13.479101 8.437626,-13.001993 9.09436,-12.632929 8.831992,-13.110347 8.175714))",90.0,50.0,POINT(-13.126238 8.567742),"POLYGON((-13.549419 8.764799,-13.180357 9.027076,-12.703496 8.370227,-13.07225 8.108402,-13.549419 8.764799))",90.0,50.0,-13.238889,8.451388,Freetown,Sierra Leone,827000,,,SLE,806.6546504,0.667103396,7.3875280547274205,True
C40_011,Fuzhou_China,248,,,POINT(119.296112 26.070835),"POLYGON((119.697372 26.429607,118.894852 26.429607,118.897301 25.710962,119.694923 25.710962,119.697372 26.429607))",2,Area Mapping Mode,1.0,0,1,1,POINT(119.299393 26.074228),"POLYGON((119.193642 25.621693,118.816231 25.915329,119.40596 26.526688,119.783859 26.231516,119.193642 25.621693))",90.0,50.0,POINT(119.299393 26.067444),"POLYGON((118.814957 26.224735,119.192833 26.519905,119.782516 25.908543,119.405128 25.614906,118.814957 26.224735))",90.0,50.0,119.296112,26.070835,Fuzhou,China,2606000,,,CHN,13303.14815,34.66800408,47.948696681711,True
C40_014,Lisbon_Portugal,249,,,POINT(-9.0375 38.705),"POLYGON((-8.57472 39.063419,-9.500281 39.063419,-9.495653 38.34478,-8.579349 38.34478,-8.57472 39.063419))",2,Area Mapping Mode,1.0,0,1,1,POINT(-8.953054 38.787842),"POLYGON((-9.169937 38.357616,-9.536056 38.703609,-8.73354 39.217667,-8.368698 38.869175,-9.169937 38.357616))",90.0,50.0,POINT(-9.033057 38.702148),"POLYGON((-9.616522 38.784321,-9.251287 39.132286,-8.450956 38.617085,-8.81744 38.27161,-9.616522 38.784321))",90.0,50.0,-9.0375,38.705,Lisbon,Portugal,2812000,,,PRT,29292.2421,82.36978479,46.767670751240345,True
C40_015,Medellin_Colombia,250,,,POINT(-75.577225 6.261389),"POLYGON((-75.215492 6.620589,-75.938965 6.620589,-75.938461 5.901941,-75.215988 5.901941,-75.215492 6.620589))",2,Area Mapping Mode,1.0,0,1,1,POINT(-75.574608 6.265049),"POLYGON((-75.626228 5.805471,-75.994293 6.065693,-75.522896 6.724622,-75.154602 6.464071,-75.626228 5.805471))",90.0,50.0,POINT(-75.574608 6.257729),"POLYGON((-75.994591 6.456787,-75.626282 6.717306,-75.154945 6.058337,-75.523033 5.798146,-75.994591 6.456787))",90.0,50.0,-75.577225,6.261389,Medellin,Colombia,3297000,,,COL,7919.208868,26.10963164,199.11440655297235,False
C40_019,Quito_Ecuador,251,,,POINT(-78.506386 -0.181389),"POLYGON((-78.147064 0.177938,-78.865715 0.177938,-78.865723 -0.540709,-78.147049 -0.540709,-78.147064 0.177938))",2,Area Mapping Mode,1.0,0,1,1,POINT(-78.503799 -0.177715),"POLYGON((-78.552742 -0.637554,-78.92009 -0.379087,-78.454857 0.282123,-78.087509 0.023665,-78.552742 -0.637554))",90.0,50.0,POINT(-78.503799 -0.185062),"POLYGON((-78.920067 0.016345,-78.552711 0.274779,-78.087517 -0.38646,-78.45488 -0.644904,-78.920067 0.016345))",90.0,50.0,-78.506386,-0.181389,Quito,Ecuador,1701000,,,ECU,6874.70574,11.69387446,169.97980936629227,False
C40_020,Salvador_Brazil,252,,,POINT(-38.428059 -12.919445),"POLYGON((-38.059925 -12.559863,-38.796192 -12.559863,-38.797253 -13.27851,-38.058865 -13.27851,-38.059925 -12.559863))",2,Area Mapping Mode,1.0,0,1,1,POINT(-38.355335 -12.645824),"POLYGON((-38.415829 -13.104485,-38.786678 -12.837763,-38.295055 -12.187151,-37.924637 -12.453194,-38.415829 -13.104485))",90.0,50.0,POINT(-38.555302 -12.613051),"POLYGON((-38.985905 -12.420341,-38.615482 -12.154367,-38.12405 -12.805073,-38.494904 -13.071724,-38.985905 -12.420341))",90.0,50.0,-38.428059,-12.919445,Salvador,Brazil,3484000,,,BRA,10310.54888,35.9219523,9.033506274354671,True
C40_022,Abidjan_CotedIvoire,253,,,POINT(-4.008333 5.358333),"POLYGON((-3.647213 5.717551,-4.369453 5.717551,-4.369029 4.998904,-3.647638 4.998904,-3.647213 5.717551))",2,Area Mapping Mode,1.0,0,1,1,POINT(-3.8657 5.512),"POLYGON((-3.916704 5.052359,-4.28461 5.312144,-3.814664 5.971637,-3.446555 5.711563,-3.916704 5.052359))",90.0,50.0,POINT(-4.095725 5.464672),"POLYGON((-4.514848 5.664259,-4.146755 5.924312,-3.676881 5.264795,-4.044774 5.005028,-4.514848 5.664259))",90.0,50.0,-4.008333,5.358333,Abidjan,Ivory Coast,3802000,,,CIV,2727.893522,10.37145117,19.95071980357661,True
